DATASTRUCTURE N TIME SCORE WORDS_FOUND PRECISION
HASH 2 224013 2 2 10000
HASH 2 8001 0 0 10000
HASH 2 0 4 4 10000
HASH 2 0 2 2 10000
HASH 2 0 0 0 10000
HASH 3 36002 18 17 10000
HASH 3 40003 23 22 10000
HASH 3 36002 3 3 10000
HASH 3 36002 1 1 10000
HASH 3 36002 2 2 10000
HASH 4 872055 15 15 10000
HASH 4 976061 145 91 10000
HASH 4 884055 28 27 10000
HASH 4 884055 30 29 10000
HASH 4 948060 23 23 10000
HASH 5 5216326 164 110 10000
HASH 5 4852302 78 68 10000
HASH 5 5408339 171 119 10000
HASH 5 5532346 271 157 10000
HASH 5 4812300 53 49 10000
HASH 6 14844928 258 131 10000
HASH 6 13808863 86 74 10000
HASH 6 13576849 78 63 10000
HASH 6 13128820 63 62 10000
HASH 6 13588849 122 107 10000
HASH 7 27745733 326 232 10000
HASH 7 28449778 143 124 10000
HASH 7 28113757 264 197 10000
HASH 7 28553784 269 197 10000
HASH 7 27441716 432 317 10000
HASH 8 46934933 185 151 10000
HASH 8 53839365 502 379 10000
HASH 8 46770923 288 235 10000
HASH 8 51555222 434 293 10000
HASH 8 49127070 370 253 10000
HASH 9 78532907 467 317 10000
HASH 9 74956685 269 227 10000
HASH 9 71360459 379 252 10000
HASH 9 69276330 146 122 10000
HASH 9 74464654 369 289 10000
HASH 10 101022314 293 242 10000
HASH 10 103078441 496 367 10000
HASH 10 104682543 1359 738 10000
HASH 10 97658103 475 334 10000
HASH 10 102098381 486 367 10000
HASH 11 136568535 1289 793 10000
HASH 11 139744733 461 364 10000
HASH 11 131160196 314 257 10000
HASH 11 138668667 480 363 10000
HASH 11 152097506 1482 922 10000
HASH 12 180263266 517 374 10000
HASH 12 175170946 498 391 10000
HASH 12 180583287 1012 697 10000
HASH 12 177387086 910 662 10000
HASH 12 171282704 1176 803 10000
HASH 13 218365646 1488 987 10000
HASH 13 229434339 1250 821 10000
HASH 13 228598287 1034 741 10000
HASH 13 218369647 794 558 10000
HASH 13 218233638 1083 771 10000
