DATASTRUCTURE N AVG_TIME STD_DEV NUM_BOARDS MAXLEN
HASH 2 46402.8 88859.1480161722 5 8
HASH 3 36802.2 1600.4 5 8
HASH 4 912857.2 41371.2712804429 5 8
HASH 5 5164322.6 289470.6706259548 5 8
HASH 6 1.37896618e7 572063.3517467799 5 8
HASH 7 2.80609536e7 419445.74098903424 5 8
HASH 8 4.96455026e7 2724506.4804765354 5 8
HASH 9 7.3718207e7 3179987.229060079 5 8
HASH 10 1.017079564e8 2355854.1088187615 5 8
HASH 11 1.396479274e8 6891800.511397601 5 8
HASH 12 1.769374578e8 3454042.290857157 5 8
HASH 13 2.226003114e8 5245538.931957501 5 8
