DATASTRUCTURE N START END SCORE WORDS_FOUND PRECISION
HASH 2 0 228014000000 2 2 10000000000
HASH 2 228014000000 232014000000 0 0 10000000000
HASH 3 232014000000 272016000000 9 8 10000000000
HASH 3 272016000000 308019000000 0 0 10000000000
HASH 4 308019000000 1192074000000 21 20 10000000000
HASH 4 1192074000000 2056127000000 30 30 10000000000
HASH 5 2056127000000 6832426000000 43 31 10000000000
HASH 5 6832426000000 11656728000000 115 87 10000000000
HASH 6 11656728000000 25109569000000 194 146 10000000000
HASH 6 25109569000000 38718419000000 87 79 10000000000
HASH 7 38718419000000 69552346000000 380 265 10000000000
HASH 7 69552346000000 99670228000000 177 129 10000000000
HASH 8 99670228000000 145489091000000 197 165 10000000000
HASH 8 145489091000000 193612100000000 194 159 10000000000
HASH 9 193612100000000 269364833000000 358 295 10000000000
HASH 9 269364833000000 348261764000000 989 511 10000000000
HASH 10 348261764000000 450036125000000 1120 671 10000000000
HASH 10 450036125000000 550770420000000 1238 766 10000000000
