DATASTRUCTURE N START END SCORE WORDS_FOUND PRECISION
TRIE 2 0 188011000000 0 0 10000000000
TRIE 2 188011000000 192011000000 1 1 10000000000
TRIE 3 192011000000 196011000000 15 15 10000000000
TRIE 3 196011000000 200011000000 9 9 10000000000
TRIE 4 200011000000 208012000000 41 40 10000000000
TRIE 4 208012000000 216012000000 80 70 10000000000
TRIE 5 216012000000 224013000000 97 70 10000000000
TRIE 5 224013000000 232014000000 43 40 10000000000
TRIE 6 232014000000 240015000000 41 40 10000000000
TRIE 6 240015000000 268016000000 242 186 10000000000
TRIE 7 268016000000 308019000000 505 349 10000000000
TRIE 7 308019000000 336021000000 414 287 10000000000
TRIE 8 336021000000 396024000000 524 309 10000000000
TRIE 8 396024000000 424026000000 294 183 10000000000
TRIE 9 424026000000 480030000000 509 376 10000000000
TRIE 9 480030000000 532033000000 499 343 10000000000
TRIE 10 532033000000 656041000000 945 536 10000000000
TRIE 10 656041000000 756047000000 772 493 10000000000
TRIE 11 756047000000 800050000000 287 234 10000000000
TRIE 11 800050000000 892055000000 666 489 10000000000
TRIE 12 892055000000 1004062000000 863 582 10000000000
TRIE 12 1004062000000 1088067000000 664 486 10000000000
TRIE 13 1088067000000 1192074000000 762 548 10000000000
TRIE 13 1192074000000 1352083000000 1153 769 10000000000
TRIE 14 1352083000000 1588099000000 1356 919 10000000000
TRIE 14 1588099000000 1892117000000 2090 1270 10000000000
TRIE 15 1892117000000 2060128000000 1078 789 10000000000
TRIE 15 2060128000000 2384149000000 1864 1199 10000000000
TRIE 16 2384149000000 2640164000000 1201 902 10000000000
TRIE 16 2640164000000 2856178000000 1381 971 10000000000
TRIE 17 2856178000000 3336208000000 2741 1680 10000000000
TRIE 17 3336208000000 3696230000000 1975 1350 10000000000
TRIE 18 3696230000000 4020250000000 1780 1181 10000000000
TRIE 18 4020250000000 4432277000000 2053 1465 10000000000
TRIE 19 4432277000000 4912306000000 2338 1579 10000000000
TRIE 19 4912306000000 5432339000000 2668 1699 10000000000
TRIE 20 5432339000000 5716356000000 1387 1050 10000000000
TRIE 20 5716356000000 6204387000000 2325 1485 10000000000
TRIE 21 6204387000000 7032439000000 3632 2151 10000000000
TRIE 21 7032439000000 7516469000000 2353 1632 10000000000
TRIE 22 7516469000000 8260515000000 2925 1968 10000000000
TRIE 22 8260515000000 9540596000000 4828 2824 10000000000
TRIE 23 9540596000000 10440652000000 2665 1918 10000000000
TRIE 23 10440652000000 11192698000000 2806 1932 10000000000
TRIE 24 11192698000000 12752796000000 4760 2800 10000000000
TRIE 24 12752796000000 13592849000000 2981 2008 10000000000
TRIE 25 13592849000000 15212950000000 4872 2936 10000000000
TRIE 25 15212950000000 16269016000000 3507 2263 10000000000
TRIE 26 16269016000000 18689167000000 6354 3557 10000000000
TRIE 26 18689167000000 20077254000000 3902 2469 10000000000
TRIE 27 20077254000000 22081379000000 5333 3187 10000000000
TRIE 27 22081379000000 24049503000000 5171 3107 10000000000
TRIE 28 24049503000000 26429651000000 6401 3745 10000000000
TRIE 28 26429651000000 27945746000000 4018 2729 10000000000
TRIE 29 27945746000000 30885930000000 6511 3768 10000000000
TRIE 29 30885930000000 33346083000000 6427 3652 10000000000
TRIE 30 33346083000000 35390211000000 4818 3092 10000000000
TRIE 30 35390211000000 37922369000000 5600 3486 10000000000
TRIE 31 37922369000000 41274579000000 6839 3997 10000000000
TRIE 31 41274579000000 44114757000000 5690 3605 10000000000
TRIE 32 44114757000000 47698980000000 6741 4018 10000000000
TRIE 32 47698980000000 51479217000000 7499 4322 10000000000
TRIE 33 51479217000000 55115443000000 7541 4336 10000000000
TRIE 33 55115443000000 58043627000000 5857 3707 10000000000
TRIE 34 58043627000000 61455840000000 6302 3797 10000000000
TRIE 34 61455840000000 65652102000000 7688 4425 10000000000
TRIE 35 65652102000000 70308393000000 7431 4374 10000000000
TRIE 35 70308393000000 78172885000000 10563 5438 10000000000
TRIE 36 78172885000000 81985123000000 6312 3898 10000000000
TRIE 36 81985123000000 85977372000000 6886 4113 10000000000
TRIE 37 85977372000000 91881742000000 8345 4729 10000000000
TRIE 37 91881742000000 99102193000000 8851 5017 10000000000
TRIE 38 99102193000000 108450777000000 10420 5677 10000000000
TRIE 38 108450777000000 114627163000000 9105 5068 10000000000
TRIE 39 114627163000000 120139508000000 7434 4431 10000000000
TRIE 39 120139508000000 134316393000000 12345 6382 10000000000
TRIE 40 134316393000000 143308955000000 9233 5224 10000000000
TRIE 40 143308955000000 149581347000000 7683 4571 10000000000
