DATASTRUCTURE N START END SCORE WORDS_FOUND PRECISION
TRIE 2 0 184011000000 1 1 10000000000
TRIE 2 184011000000 188011000000 3 3 10000000000
TRIE 2 188011000000 188011000000 4 4 10000000000
TRIE 3 188011000000 192011000000 0 0 10000000000
TRIE 3 192011000000 192011000000 0 0 10000000000
TRIE 3 192011000000 196011000000 32 29 10000000000
TRIE 4 196011000000 204012000000 19 19 10000000000
TRIE 4 204012000000 204012000000 8 8 10000000000
TRIE 4 204012000000 208012000000 8 8 10000000000
TRIE 5 208012000000 220013000000 102 84 10000000000
TRIE 5 220013000000 228013000000 74 60 10000000000
TRIE 5 228013000000 228013000000 5 5 10000000000
TRIE 6 228013000000 236014000000 87 71 10000000000
TRIE 6 236014000000 244014000000 47 45 10000000000
TRIE 6 244014000000 252015000000 89 78 10000000000
TRIE 7 252015000000 312018000000 518 379 10000000000
TRIE 7 312018000000 340020000000 218 188 10000000000
TRIE 7 340020000000 360021000000 167 143 10000000000
TRIE 8 360021000000 396024000000 349 265 10000000000
TRIE 8 396024000000 428026000000 253 197 10000000000
TRIE 8 428026000000 460028000000 272 227 10000000000
TRIE 9 460028000000 524032000000 651 468 10000000000
TRIE 9 524032000000 620038000000 480 353 10000000000
TRIE 9 620038000000 652040000000 257 202 10000000000
TRIE 10 652040000000 700043000000 439 337 10000000000
TRIE 10 700043000000 780048000000 681 489 10000000000
TRIE 10 780048000000 868054000000 739 507 10000000000
TRIE 11 868054000000 928057000000 512 388 10000000000
TRIE 11 928057000000 1004062000000 513 379 10000000000
TRIE 11 1004062000000 1152071000000 1186 700 10000000000
TRIE 12 1152071000000 1268078000000 829 613 10000000000
TRIE 12 1268078000000 1400087000000 999 664 10000000000
TRIE 12 1400087000000 1480091000000 582 476 10000000000
TRIE 13 1480091000000 1704105000000 1333 851 10000000000
TRIE 13 1704105000000 1812113000000 823 623 10000000000
TRIE 13 1812113000000 1932120000000 951 695 10000000000
TRIE 14 1932120000000 2120132000000 1362 930 10000000000
TRIE 14 2120132000000 2260141000000 939 709 10000000000
TRIE 14 2260141000000 2428151000000 1421 844 10000000000
TRIE 15 2428151000000 2804174000000 2267 1315 10000000000
TRIE 15 2804174000000 3100193000000 1833 1229 10000000000
TRIE 15 3100193000000 3400212000000 1912 1162 10000000000
TRIE 16 3400212000000 3732233000000 2010 1266 10000000000
TRIE 16 3732233000000 4124257000000 1926 1342 10000000000
TRIE 16 4124257000000 4492280000000 2117 1386 10000000000
TRIE 17 4492280000000 4780298000000 1790 1166 10000000000
TRIE 17 4780298000000 5228326000000 1827 1363 10000000000
TRIE 17 5228326000000 5640352000000 2209 1482 10000000000
