DATASTRUCTURE N TIME SCORE WORDS_FOUND PRECISION
TRIE 2 192012 0 0 10000
TRIE 2 0 5 5 10000
TRIE 2 4000 0 0 10000
TRIE 3 4000 9 9 10000
TRIE 3 0 2 2 10000
TRIE 3 4000 0 0 10000
TRIE 4 4001 29 28 10000
TRIE 4 8000 65 60 10000
TRIE 4 8000 37 36 10000
TRIE 5 12001 68 59 10000
TRIE 5 20001 202 142 10000
TRIE 5 12001 34 32 10000
TRIE 6 20001 200 159 10000
TRIE 6 16001 156 127 10000
TRIE 6 64004 1006 468 10000
TRIE 7 40002 399 261 10000
TRIE 7 32002 289 226 10000
TRIE 7 32003 297 221 10000
TRIE 8 28002 282 197 10000
TRIE 8 28002 227 187 10000
TRIE 8 20001 175 148 10000
TRIE 9 24001 164 136 10000
TRIE 9 112007 788 472 10000
TRIE 9 48003 348 267 10000
TRIE 10 92005 864 616 10000
TRIE 10 40003 297 209 10000
TRIE 10 36002 314 255 10000
TRIE 11 96007 771 568 10000
TRIE 11 100006 720 500 10000
TRIE 11 100006 870 607 10000
TRIE 12 164010 1177 805 10000
TRIE 12 80005 659 477 10000
TRIE 12 304020 2117 1125 10000
TRIE 13 168010 1440 901 10000
TRIE 13 240015 1583 999 10000
TRIE 13 180011 1346 803 10000
TRIE 14 248016 1944 1065 10000
TRIE 14 184011 1455 846 10000
TRIE 14 120008 835 601 10000
TRIE 15 184011 1226 842 10000
TRIE 15 144009 1045 718 10000
TRIE 15 144009 939 719 10000
TRIE 16 356022 2320 1397 10000
TRIE 16 216013 1105 798 10000
TRIE 16 268018 1952 1183 10000
TRIE 17 376023 2254 1346 10000
TRIE 17 240015 1620 1144 10000
TRIE 17 336021 1944 1245 10000
TRIE 18 340021 1989 1363 10000
TRIE 18 432027 2243 1456 10000
TRIE 18 336021 1685 1258 10000
TRIE 19 412026 2205 1377 10000
TRIE 19 724045 3333 1955 10000
TRIE 19 568035 2601 1694 10000
TRIE 20 580037 2620 1746 10000
TRIE 20 448028 2169 1519 10000
TRIE 20 740046 3193 1948 10000
