DATASTRUCTURE N AVG_TIME STD_DEV NUM_BOARDS
TRIE 2 65337.333333333336 89587.40008629685 3
TRIE 3 2666.6666666666665 1885.6180831641268 3
TRIE 4 6667.0 1885.1466786433357 3
TRIE 5 14667.666666666666 3771.2361663282536 3
TRIE 6 33335.333333333336 21747.418794473568 3
TRIE 7 34669.0 3771.000486166326 3
TRIE 8 25335.0 3771.7075708490447 3
TRIE 9 61337.0 37144.85766114425 3
TRIE 10 56003.333333333336 25509.37085769768 3
TRIE 11 98673.0 1885.1466786433357 3
TRIE 12 182678.33333333334 92401.51534952708 3
TRIE 13 196012.0 31498.19049829159 3
TRIE 14 184011.66666666666 52259.047167824334 3
TRIE 15 157343.0 18857.12364068285 3
TRIE 16 280017.6666666667 57784.79627222218 3
TRIE 17 317353.0 57072.55431466161 3
TRIE 18 369356.3333333333 44344.930904094195 3
TRIE 19 568035.3333333334 127381.22334246215 3
TRIE 20 589370.3333333334 119398.38473037322 3
