DATASTRUCTURE N TIME SCORE WORDS_FOUND PRECISION
TRIE 2 188011 2 2 10000
TRIE 2 0 2 2 10000
TRIE 2 4000 2 2 10000
TRIE 2 0 0 0 10000
TRIE 2 0 0 0 10000
TRIE 3 4000 14 14 10000
TRIE 3 4001 2 2 10000
TRIE 3 4000 20 20 10000
TRIE 3 0 7 7 10000
TRIE 3 0 4 4 10000
TRIE 4 8000 66 62 10000
TRIE 4 4001 9 7 10000
TRIE 4 8001 50 46 10000
TRIE 4 4000 43 40 10000
TRIE 4 0 7 7 10000
TRIE 5 12001 94 83 10000
TRIE 5 4000 55 50 10000
TRIE 5 12001 61 54 10000
TRIE 5 4000 28 26 10000
TRIE 5 8001 49 47 10000
TRIE 6 8000 59 48 10000
TRIE 6 24002 292 196 10000
TRIE 6 8000 56 55 10000
TRIE 6 4000 14 14 10000
TRIE 6 48003 731 420 10000
TRIE 7 52003 514 266 10000
TRIE 7 44003 562 299 10000
TRIE 7 12001 89 82 10000
TRIE 7 8000 80 73 10000
TRIE 7 12001 136 115 10000
TRIE 8 52004 496 352 10000
TRIE 8 32002 243 205 10000
TRIE 8 32002 284 224 10000
TRIE 8 68003 262 217 10000
TRIE 8 32002 311 231 10000
TRIE 9 60004 556 404 10000
TRIE 9 68004 752 440 10000
TRIE 9 84005 792 533 10000
TRIE 9 68005 719 502 10000
TRIE 9 24001 157 137 10000
TRIE 10 88006 852 538 10000
TRIE 10 92006 855 589 10000
TRIE 10 104006 853 570 10000
TRIE 10 44003 406 293 10000
TRIE 10 84005 791 565 10000
TRIE 11 100006 547 410 10000
TRIE 11 92007 807 560 10000
TRIE 11 40002 344 274 10000
TRIE 11 80005 616 437 10000
TRIE 11 36002 341 270 10000
TRIE 12 100007 807 602 10000
TRIE 12 144009 1242 768 10000
TRIE 12 192011 1425 840 10000
TRIE 12 176011 1126 769 10000
TRIE 12 256016 1580 900 10000
TRIE 13 144009 1037 733 10000
TRIE 13 332021 2269 1273 10000
TRIE 13 180011 1271 797 10000
TRIE 13 160011 1120 824 10000
TRIE 13 184011 1215 824 10000
TRIE 14 136008 976 707 10000
TRIE 14 328020 2003 1288 10000
TRIE 14 244016 1798 1059 10000
TRIE 14 120007 958 645 10000
TRIE 14 136009 1028 685 10000
TRIE 15 236015 1198 901 10000
TRIE 15 264016 1918 1175 10000
TRIE 15 272018 1496 1057 10000
TRIE 15 292018 1972 1216 10000
TRIE 15 280017 1843 1088 10000
TRIE 16 300019 1597 1039 10000
TRIE 16 184012 1200 878 10000
TRIE 16 216013 1327 971 10000
TRIE 16 256016 1606 1056 10000
TRIE 16 212013 1452 1048 10000
TRIE 17 272017 1498 1060 10000
TRIE 17 448028 2446 1486 10000
TRIE 17 252016 1758 1140 10000
TRIE 17 296019 1519 1104 10000
TRIE 17 296018 1616 1136 10000
TRIE 18 480030 2299 1535 10000
TRIE 18 392024 1999 1275 10000
TRIE 18 304019 1636 1164 10000
TRIE 18 488031 2440 1638 10000
TRIE 18 404025 1934 1351 10000
TRIE 19 624039 2962 1760 10000
TRIE 19 296018 1535 1084 10000
TRIE 19 556035 2530 1669 10000
TRIE 19 652041 3063 1818 10000
TRIE 19 420026 2255 1498 10000
TRIE 20 572036 2759 1754 10000
TRIE 20 464029 2242 1532 10000
TRIE 20 492031 2076 1447 10000
TRIE 20 604038 2965 1898 10000
TRIE 20 624039 2978 1873 10000
TRIE 21 524032 2499 1658 10000
TRIE 21 576036 2267 1627 10000
TRIE 21 776049 3480 2134 10000
TRIE 21 540033 2452 1745 10000
TRIE 21 620039 2962 1774 10000
TRIE 22 664042 2937 1894 10000
TRIE 22 664041 2851 1939 10000
TRIE 22 1064067 3980 2424 10000
TRIE 22 612038 2678 1732 10000
TRIE 22 672042 2841 1865 10000
TRIE 23 1324083 4581 2690 10000
TRIE 23 1412088 4305 2613 10000
TRIE 23 1356085 4684 2797 10000
TRIE 23 1204075 4161 2527 10000
TRIE 23 708044 2697 1843 10000
TRIE 24 968061 3663 2324 10000
TRIE 24 1440090 4813 2799 10000
