DATASTRUCTURE N AVG_TIME STD_DEV NUM_BOARDS
TRIE 2 38402.2 74820.44011739038 5
TRIE 3 2400.2 1959.7551275605838 5
TRIE 4 4800.4 2993.4863019562995 5
TRIE 5 8000.6 3578.1559831846344 5
TRIE 6 18401.0 16318.088172331953 5
TRIE 7 25601.6 18522.496630854057 5
TRIE 8 43202.6 14621.113522574127 5
TRIE 9 60803.8 19985.402726990516 5
TRIE 10 82405.2 20334.341429217715 5
TRIE 11 69604.4 26607.253226141176 5
TRIE 12 173610.8 51824.18594594613 5
TRIE 13 200012.6 67555.70159683045 5
TRIE 14 192812.0 80816.94887831388 5
TRIE 15 268816.8 18830.791841024635 5
TRIE 16 233614.6 40368.87522138808 5
TRIE 17 312819.6 69581.3125676715 5
TRIE 18 413625.8 67109.03857871903 5
TRIE 19 509631.8 133553.5095538863 5
TRIE 20 551234.6 62659.81308175121 5
TRIE 21 607237.8 90635.90302611874 5
TRIE 22 735246.0 165794.07019673532 5
TRIE 23 1200875.0 255645.81799591403 5
TRIE 24 1160072.6 172484.50862567336 5
TRIE 25 1353684.6 198415.6884811279 5
TRIE 26 1673704.4 229749.36022248244 5
TRIE 27 1828914.6 469353.2042045095 5
TRIE 28 2099331.2 386809.1468780954 5
TRIE 29 2604962.6 535868.8214205414 5
TRIE 30 2776973.6 506459.58418282506 5
TRIE 31 3144996.4 161114.4570342463 5
TRIE 32 3780236.4 172280.26037430987 5
TRIE 33 3927445.4 556937.2017194038 5
TRIE 34 4568285.6 959716.2440831352 5
TRIE 35 4489880.6 692191.492532984 5
TRIE 36 5538746.0 989020.5048616535 5
TRIE 37 8648540.6 3063854.413247444 5
TRIE 38 7648478.0 1125715.9976352828 5
TRIE 39 8806150.4 2061874.3203530714 5
TRIE 40 1.09270828e7 1585885.154347237 5
